"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
8220,1970,1858,3338,3456,1527,2102
9012,2198,2135,3591,3821,1481,2363
10412,2542,2091,4316,4620,1806,3282
9505,2254,1940,3900,4347,1799,3562
7637,1855,1478,2776,3003,1580,3273
6165,1449,1252,2229,2309,1172,3035
6624,1430,1131,2457,2345,1219,2813
5087,1225,896,2167,1825,941,2389
1943,647,413,854,851,502,1264
578,210,180,318,293,173,337
21,14,7,8,4,0,3
0,2,0,0,4,6,0
363,417,152,378,468,313,275
565,783,365,730,978,824,584
1083,1244,543,1599,1549,686,830
1993,1578,788,1943,2253,978,1091
3350,1812,1114,2055,2718,1094,1232
5325,2237,1314,2462,3024,1267,1574
5504,2176,1307,2979,3280,1349,1562
5972,2105,1692,3059,3239,1439,1615
7132,2018,1945,2828,3375,1428,1728
7595,2036,1887,2670,3467,1420,1874
8320,2224,1938,3030,3831,1433,2412
9281,2514,1853,3600,4068,1645,3151
7827,2262,1714,2948,3361,1590,2986
6621,1753,1319,2268,2703,1451,2852
5777,1419,1102,2058,2205,1219,2836
5397,1429,863,1858,2232,1103,2670
4248,1009,728,1341,1488,880,2482
1560,542,322,677,669,448,1137
345,132,86,216,210,105,205
14,15,5,4,5,2,0
2,2,0,0,1,0,0
392,802,225,516,754,400,382
916,2703,983,1886,2845,1715,1168
1424,1957,1245,2417,2129,990,1469
1855,1701,1006,2177,2173,1038,1055
3087,1828,1145,2252,2386,1069,1412
5025,2126,1409,2501,2704,1282,1608
4812,1832,1255,2523,2665,1257,1426
5274,1779,1459,2773,2717,1318,1453
5904,1814,1393,2650,2808,1308,1408
6213,1858,1557,2743,2859,1329,1590
6831,2571,1841,3275,3946,1600,1984
7705,3053,2041,4317,5027,2186,2707
6811,2694,1863,3883,4404,1931,2927
5284,1756,1302,2653,3035,1228,2500
4423,1458,854,2132,2155,1033,2200
4313,1405,778,2345,1975,1166,2243
3182,1020,580,1656,1408,790,1769
984,448,242,588,521,345,789
377,120,110,266,181,101,216
531,990,328,731,984,519,596
2139,3768,1743,3335,4274,2219,3013
6211,4095,3550,7128,4533,3034,6864
3682,2326,1498,4416,3398,1458,3598
3235,1628,1109,2945,2347,1082,1633
3684,1645,993,2404,2310,930,1387
4053,1552,1206,2856,2524,997,1608
4186,1532,1275,2924,2647,1028,1513
4152,1525,1165,2643,2564,929,1268
4443,1541,1319,2759,2473,985,1566
5010,2435,1528,3503,3864,1410,2099
6813,3196,2388,5339,5546,2349,3653
10013,3844,3210,7703,5976,2815,6610
7218,2718,2041,4815,3928,1776,5152
4890,1742,1093,2938,2382,1156,2901
4644,1485,890,2806,2307,1008,2479
3288,1106,558,2148,1659,819,1707
1059,429,259,723,564,285,693
422,157,138,282,209,115,193
13,9,2,8,10,1,2
0,0,0,0,9,0,0
502,992,338,725,923,449,589
2180,3708,1669,3345,4333,2177,3014
6196,4082,3530,7094,4576,3051,7010
3710,2321,1643,4448,3330,1481,3518
3314,1730,1217,2631,2481,1009,1603
3974,1692,1078,2464,2150,1117,1308
4248,1745,1141,3063,2749,1091,1600
4621,1543,1214,3199,3274,1089,1514
4554,1499,1209,2663,2669,856,1380
4651,1534,1279,2772,2572,986,1495
5293,2236,1566,3639,3296,1410,2010
7261,3216,2338,5516,5188,2163,3747
10631,4064,3334,7820,6020,2803,6932
7709,2632,2132,4986,3925,1755,5211
5244,1732,1108,3153,2453,1137,3019
5280,1608,973,3003,2338,1129,2557
3898,1187,704,2267,1739,743,1882
1173,463,260,714,597,336,763
455,148,125,280,220,122,196
16,8,3,5,4,2,1
0,0,0,2,5,2,0
526,945,340,718,919,482,595
2195,3703,1671,3485,4077,2162,2933
6121,4096,3613,7251,4596,3032,7062
3865,2359,1672,4328,3374,1595,3823
3417,1627,1136,2815,2424,1081,1619
3843,1623,1094,2390,2330,1062,1400
4303,1533,1212,2909,2874,1147,1597
4465,1659,1299,2894,2567,1135,1667
4448,1329,1132,2683,2397,992,1377
4705,1480,1271,2923,2650,965,1544
5306,2216,1587,3741,3718,1423,2145
7595,3174,2316,5556,5307,2279,3765
10880,3889,3369,7959,6352,2779,7090
7812,2638,2043,5157,4111,1770,5254
5484,1771,1242,3157,2500,1211,3074
5315,1511,1044,3367,2475,1162,2756
3900,1249,683,2394,1806,816,1847
1267,437,329,742,610,358,770
847,285,177,429,365,254,398
33,30,6,11,10,2,0
0,2,0,0,4,0,0
547,950,327,712,858,524,595
2151,3578,1764,3606,4072,2251,3064
6111,4042,3438,7076,4460,3024,6822
3822,2380,1641,4265,3059,1517,3583
3537,1794,1212,2893,2458,1111,1621
4316,1695,1060,2863,2355,1234,1373
4805,1725,1245,3216,2821,1095,1646
5105,1580,1409,3371,2983,1135,1630
5085,1492,1206,2956,2596,1030,1512
5463,1550,1470,3155,3022,1216,1683
6370,2526,1768,3836,4187,1500,2291
8594,3396,2645,5963,6013,2488,4078
13303,4110,3497,8282,7171,3016,7336
9382,2904,2178,5014,4509,1939,5538
6585,1914,1210,3044,2661,1463,3379
6612,1769,1057,3368,2645,1398,2927
5635,1587,861,2655,2343,1074,2434
2164,745,512,1102,1065,530,1139
651,252,175,423,336,155,329
33,22,9,16,5,1,1
0,2,0,0,5,0,2
362,536,205,578,544,447,360
721,1189,436,1497,1246,800,768
1462,1802,767,2402,2149,1018,1242
2519,1943,953,2939,2467,1311,1448
3767,2079,1210,2817,2855,1242,1485
5735,2414,1385,3237,3248,1502,1880
6474,2276,1475,4100,3398,1663,1854
7358,2193,1700,4313,3870,1613,1901
7979,2152,1790,3470,3629,1507,1992
8392,2019,1899,3285,3443,1381,1956
9212,2357,2018,3759,3759,1503,2420
10958,2569,2068,4849,4238,1817,3325
9794,2289,1986,4179,4083,1795,3338
7583,1950,1495,2890,2672,1484,3065
6620,1588,1179,2497,2352,1165,2960
6911,1587,1043,2436,2368,1193,2802
5111,1221,900,2242,1765,972,2363
1877,641,505,980,763,455,1101
368,144,105,240,227,129,160
11,9,2,7,3,1,3
0,0,0,0,8,0,0
339,372,166,360,353,299,255
553,788,350,758,740,704,592
1105,1200,542,1954,1420,725,907
1740,1438,689,2022,2016,823,1036
3171,1591,903,2062,2115,872,1131
5001,1821,1104,2408,2468,1157,1492
5240,1837,1084,3331,2757,1226,1521
5803,1774,1356,3389,2876,1313,1590
7004,1674,1385,2837,2772,1076,1664
6768,1607,1390,2599,2492,1103,1552
7195,1650,1423,2783,2672,1140,1947
8012,1899,1574,3617,3147,1406,2200
6383,1547,1224,2897,2624,1244,2045
5405,1296,992,2145,2095,1082,1828
4797,1185,799,1909,1691,1004,1726
4685,1128,800,1882,1625,1079,2138
3172,745,533,1203,1081,708,1234
982,411,220,620,506,383,640
397,144,106,276,187,116,191
500,865,333,760,883,515,592
2132,3087,1745,3311,3924,2222,2923
6266,3677,3711,7457,4424,3249,7046
3893,2119,1630,4386,3047,1584,3612
2930,1375,1035,2583,2061,976,1482
3398,1346,868,2327,1885,915,1219
3807,1338,1003,2656,2324,946,1397
3917,1325,1059,2975,2325,1037,1440
3833,1259,997,2524,1975,795,1271
4060,1357,1060,2526,2076,898,1370
4670,2128,1361,3295,3265,1305,1890
6650,2903,2282,5429,4870,2189,3380
9651,3683,3251,7458,5740,2854,6552
6882,2591,1888,4700,3620,1704,5020
4657,1598,1021,2793,2316,1066,2687
4363,1341,789,2672,2152,1030,2139
3352,1070,561,2053,1554,704,1564
1002,438,245,721,558,325,640
385,128,133,253,208,113,224
20,10,3,2,6,0,0
4,2,0,0,6,0,0
492,942,329,672,922,534,571
2092,3583,1717,3262,4067,2165,3021
6123,4156,3535,7190,4697,3040,7063
3692,2328,1590,4487,3312,1489,3602
2938,1855,1050,2906,2358,988,1530
3658,1628,970,2439,2271,871,1306
4089,1576,1056,2761,2571,985,1499
4182,1555,1078,2999,2525,1067,1551
4000,1488,1129,2731,2539,862,1325
4271,1568,1155,2707,2570,977,1446
4873,2279,1409,3696,3687,1361,2027
7187,3218,2334,5571,5373,2303,3670
10248,3920,3330,7873,6029,2772,6716
7288,2870,2013,4851,3851,1747,5350
5004,1793,1096,3081,2403,1138,2729
4896,1433,917,3056,2348,1100,2559
3553,1160,601,2151,1697,838,1784
1073,438,233,718,565,382,778
420,184,112,324,208,116,218
17,4,1,11,1,7,3
0,2,0,0,5,2,0
509,982,326,704,925,458,578
2089,3677,1686,3333,4008,2165,2968
6180,4149,3508,7063,4368,2983,7087
3791,2431,1555,4336,3298,1409,3473
2763,1761,1073,2673,2341,1025,1602
3669,1678,1028,2614,2224,905,1323
4159,1642,1026,3060,2623,1040,1564
4209,1649,1251,3169,2655,1011,1555
4291,1477,1119,2783,2393,944,1393
4492,1514,1156,2751,2484,1191,1531
5270,2373,1381,3609,3635,1226,2038
7404,3211,2260,5620,5121,2155,3721
10948,4078,3311,7919,6078,2722,6568
7924,2829,1931,5117,4059,1791,5086
5171,1838,1143,3093,2508,1126,2655
5372,1589,915,3161,2247,1084,2572
4018,1180,627,2300,1822,753,1730
1265,464,254,735,575,352,787
517,181,135,316,223,137,225
20,11,4,8,6,2,0
0,0,0,0,3,0,0
502,949,344,729,926,480,591
2095,3691,1804,3386,3802,2140,2911
5972,4111,3496,7055,4302,2967,7014
3732,2343,1546,4428,3291,1475,3596
3229,1673,999,2740,2384,1014,1548
3884,1617,1012,2507,2347,947,1357
4152,1603,1040,2946,2663,982,1502
4233,1561,1218,3137,2650,987,1487
4448,1480,1114,2662,2499,931,1348
4413,1497,1177,2886,2660,917,1469
5516,2371,1581,3586,3745,1364,2069
7788,3105,2346,5788,5217,2317,3785
10888,3988,3310,8032,6209,2931,6668
7603,2575,1957,4661,3798,1655,5023
5303,1655,1191,3046,2440,1056,2774
5251,1644,929,3262,2349,1093,2452
4081,1196,590,2322,1858,808,1970
1280,474,292,833,562,373,741
849,273,200,422,338,199,379
26,26,2,11,5,7,1
2,2,0,2,5,2,0
508,953,315,694,888,461,632
2052,3668,1772,3263,3849,2032,2897
5915,3914,3484,7011,4566,2945,6897
3501,2161,1578,4075,3008,1514,3462
3268,1811,1154,2870,2466,1029,1742
4142,1730,1069,2712,2506,983,1637
5009,1934,1251,3120,2876,1138,1868
5162,1813,1452,3278,3097,1119,1924
5426,1643,1336,3077,2981,1073,1751
5333,1753,1394,3063,2875,1297,1851
6673,2253,1902,4164,4082,1617,2549
9078,3154,2663,6088,5814,2437,4187
13631,4432,3594,8142,6729,3016,7343
9306,2986,2102,5142,4263,2007,5588
5953,1839,1214,3146,2650,1441,3156
6284,1736,1017,3258,2529,1360,2850
5381,1477,805,2668,2053,1035,2254
1981,658,330,1057,846,564,1007
731,243,176,322,297,187,329
24,29,8,11,8,2,2
2,2,0,2,8,0,0
364,448,175,471,423,394,284
621,880,381,903,988,764,693
1445,1464,643,2049,1795,810,1055
2287,1737,796,2550,2304,1101,1337
3651,1980,1126,2620,2587,1265,1338
5531,2214,1383,3060,3120,1346,1719
5910,2064,1217,3586,3398,1516,1858
7056,1974,1737,3847,3597,1654,2014
7412,1937,1703,3316,3272,1403,2006
7870,1821,1652,3149,3159,1382,2200
8711,2026,1783,3555,3399,1482,2766
9797,2395,1843,4333,3916,1796,3294
8520,2106,1640,3636,3580,1673,3529
7190,1760,1213,2571,2392,1310,3316
6049,1476,941,2115,2072,1131,2973
5597,1391,975,2295,2004,1005,2688
4706,1126,762,1825,1637,831,2380
1830,585,362,829,749,476,1130
373,172,115,225,182,151,222
8,6,2,2,2,3,3
0,0,0,2,7,0,0
343,330,119,362,377,238,285
466,716,278,613,734,654,499
943,1014,453,1358,1311,570,792
1723,1462,648,1668,1898,788,1055
2882,1615,858,1916,2267,952,1055
4637,2134,1012,2368,2634,1047,1477
4769,1850,1088,2559,2824,1151,1533
5576,1781,1331,2928,2944,1216,1575
6374,1922,1423,2488,3099,1141,1513
6814,1874,1475,2605,2908,1243,1897
7270,2108,1455,2809,3066,1288,2243
7436,2246,1507,3037,3385,1401,2420
6452,1789,1265,2658,2711,1319,2391
5497,1539,1039,2135,2300,1180,2372
4736,1423,883,1956,1988,1042,2591
4150,1151,663,1726,1689,944,1924
2761,841,498,1115,1108,793,1406
945,365,243,559,537,394,745
336,118,104,234,153,100,204
10,11,4,3,2,1,1
0,2,0,0,5,2,0
498,954,359,719,1005,518,586
2098,3498,1663,3280,3979,2173,2868
5973,3840,3390,6917,4230,2981,6839
3376,2103,1472,4065,2982,1397,3487
2787,1532,952,2649,2252,948,1497
3416,1573,866,2334,2280,891,1303
3814,1497,991,2662,2500,992,1408
3834,1410,1138,2967,2474,951,1549
3997,1368,1073,2493,2296,863,1323
4049,1439,1125,2668,2438,947,1451
4588,2304,1402,3248,3381,1287,1875
6662,3082,2203,5240,4873,2134,3558
9615,3862,3151,7285,5489,2694,6535
6953,2602,1942,4541,3616,1714,5161
4416,1574,999,2631,2271,1093,2626
4351,1387,778,2695,2069,1058,2239
3091,1063,573,1892,1569,668,1662
978,406,210,656,474,291,786
408,149,103,257,193,123,193
16,5,3,3,0,1,2
0,0,0,0,5,0,0
478,1002,326,709,927,508,587
2096,3658,1728,3275,3942,2183,2954
6180,4116,3516,7216,4560,3009,7000
3807,2326,1535,4263,3405,1427,3567
3041,1602,1061,2864,2593,910,1489
3685,1597,922,2542,2375,910,1267
4037,1604,1056,2684,2660,1008,1456
4034,1524,1148,2932,2761,1055,1517
4076,1423,1086,2583,2668,913,1326
4092,1575,1147,2739,2639,859,1457
4901,2442,1476,3588,3752,1407,2002
6877,3129,2306,5513,5182,2136,3560
10296,3976,3252,7607,6151,2806,6525
3458,1048,609,2024,1632,766,1758
1011,412,247,707,537,321,728
453,146,121,262,230,137,209
520,940,329,710,923,470,605
2102,3502,1701,3319,4023,2141,2977
5996,4153,3483,6996,4486,2906,6949
3609,2164,1550,4475,3543,1468,3445
3076,1666,1036,2649,2641,932,1535
3797,1538,1044,2520,2407,911,1311
4126,1607,1049,3014,2762,971,1525
4437,1571,1190,3133,2808,1055,1522
4211,1428,1111,2669,2590,860,1358
4480,1473,1194,2782,2539,1057,1483
5213,2423,1500,3469,3760,1415,1935
7277,3092,2484,5491,5301,2030,3821
10561,3993,3270,7622,6024,2738,6740
7274,2725,1965,4884,3877,1713,4775
5089,1656,1028,2925,2531,1067,2702
5008,1499,907,2938,2180,1109,2405
3620,1196,677,2191,1600,814,1634
1152,408,288,709,554,377,714
515,149,156,291,227,122,230
8,11,3,9,2,3,2
0,0,0,0,6,0,0
505,961,310,691,910,449,591
2161,3611,1780,3417,3936,2055,2947
5940,4022,3479,7237,4473,3056,6986
3577,2301,1523,4404,3497,1455,3636
3043,1722,1069,2803,2672,1043,1593
3729,1512,1003,2424,2619,897,1340
4021,1537,1147,2917,2989,1012,1550
4090,1525,1161,2934,2844,1017,1552
4287,1379,1050,2645,2722,956,1327
4479,1445,1333,2730,3040,1071,1507
5116,2131,1607,3549,4064,1338,2029
7541,3063,2378,5587,5361,2154,3766
10979,3905,3351,7956,6263,2822,6802
7573,2576,1956,4762,3915,1740,4877
5194,1690,1129,3023,2398,1214,2954
5538,1460,943,3240,2276,1091,2507
3981,1239,646,2220,1754,813,1853
1322,464,267,784,649,397,793
928,299,220,459,346,210,409
508,868,308,666,808,464,589
2033,3246,1708,3414,3900,2026,2907
6225,3807,3641,7173,4447,3182,6833
3846,2027,1595,4489,2927,1516,3696
3287,1331,1085,2735,2088,1022,1620
3904,1329,959,2447,2208,979,1276
4904,1639,1142,2923,3340,1102,1699
5134,1602,1316,3084,3022,1152,1660
5173,1544,1199,2885,2967,1028,1479
5674,1473,1421,3091,2784,1457,1681
6377,2222,1715,3932,3378,1398,2143
9197,2997,2522,5694,5305,2225,3892
13087,4051,3386,8023,6155,2972,7064
9504,2844,2186,5269,4022,1956,5181
6284,1716,1245,3096,2625,1328,3068
6388,1638,1058,3273,2414,1311,2987
5912,1633,963,2601,2182,1072,2463
2316,736,412,1106,786,554,1178
866,288,265,408,351,219,438
46,29,6,9,9,7,0
0,0,0,0,5,0,2
371,554,174,510,583,367,378
712,1047,420,1135,1221,811,899
1620,1413,772,2372,1897,885,1259
2499,1446,975,2619,2442,1065,1384
3903,1683,1237,2735,2644,1226,1397
6143,2149,1469,3125,3237,1478,1829
6615,2057,1518,3876,3459,1444,2001
7279,2011,1718,3908,3931,1697,1909
7860,1795,1876,3257,3433,1439,1901
8850,1779,1822,3267,3203,1450,1955
9483,1807,2135,3768,3624,1466,2335
10959,2440,2238,4334,4498,1899,3130
9701,2040,2027,3882,3979,1716,3544
7892,1704,1564,2784,2927,1382,3279
6803,1474,1250,2286,2401,1089,2800
6449,1356,1119,2349,2247,1085,2925
5253,1270,1028,2050,1727,903,2583
2057,632,441,904,879,526,1304
427,170,125,255,230,112,267
18,12,7,6,3,0,1
0,0,0,0,8,0,0
420,384,166,462,449,322,317
582,876,357,858,954,767,622
1048,1205,542,1707,1773,676,924
1894,1519,774,2077,2233,844,1126
3187,1641,1018,2024,2863,1049,1157
5437,1959,1309,2412,3207,1229,1586
5601,1722,1337,2826,3349,1248,1715
6515,2018,1566,3189,4038,1407,1708
7550,1954,1749,2835,3452,1239,1737
7736,1768,1744,2733,3543,1266,1790
8229,1922,1798,2931,3702,1283,2038
8705,2221,1831,3385,3768,1602,2628
7338,1827,1580,2918,3108,1478,2712
6165,1738,1216,2305,2460,1170,2513
5258,1453,1040,1965,2021,1126,2317
4896,1254,846,2008,1661,1076,2287
3312,920,640,1326,1206,779,1715
1085,444,313,597,537,401,921
342,121,91,210,150,74,157
21,7,7,8,1,0,0
2,0,0,0,4,0,0
501,933,360,689,919,502,622
2022,3387,1705,3252,3688,2135,2832
6028,3782,3482,6814,4111,2932,6862
3500,2185,1585,4123,2778,1431,3505
2887,1511,1010,2666,2291,1011,1559
3515,1593,1076,2478,2195,949,1406
3813,1454,1067,2621,2303,981,1509
4006,1417,1136,2948,2534,958,1473
4131,1289,1163,2493,2204,857,1277
4145,1435,1074,2548,2245,959,1469
4720,2246,1409,3380,3316,1346,1833
6704,2904,2268,5255,4469,2091,3515
9847,3672,3219,7172,5224,2764,6685
10912,3834,3287,7900,5767,2829,6721
7258,2609,1973,5028,3773,1697,4942
4944,1588,1081,2982,2426,1079,2542
4970,1457,887,2943,2196,969,2251
3521,1130,680,2103,1618,712,1524
1101,417,254,680,529,289,650
500,147,143,308,207,124,278
19,10,4,6,6,0,0
0,4,0,0,3,0,2
516,891,321,751,889,455,606
2083,3447,1752,3349,3876,2093,2877
6087,3968,3665,7234,4443,2905,7058
3982,2311,1653,4424,3366,1600,3769
3074,1734,1071,2843,2526,1029,1635
3544,1615,1055,2472,2504,927,1477
4114,1522,1176,2984,2717,959,1635
4269,1496,1290,3133,2874,1024,1586
4330,1464,1106,2729,2601,877,1444
4402,1475,1183,2751,2751,960,1604
5116,2385,1452,3509,3686,1319,1964
7253,2860,2435,5602,5181,2159,3745
10789,3938,3410,7817,5959,2718,6525
7529,2709,1888,4779,3946,1742,5166
5292,1688,1066,3034,2444,1116,2915
5286,1525,937,3181,2238,1058,2623
3858,1185,678,2342,1745,780,1882
1286,435,288,799,599,363,844
926,295,237,458,317,207,448
24,18,3,7,8,4,0
0,2,0,0,6,0,0
485,946,306,701,948,540,605
2065,3463,1745,3294,3921,2115,2899
5796,4166,3503,6831,4513,2795,6797
3530,2332,1564,4082,3201,1453,3561
3322,1829,1135,2855,2614,1001,1613
4148,1799,1200,2715,2582,963,1495
4773,1824,1228,3074,2970,1164,1722
4772,1726,1411,3375,3048,1075,1756
5192,1575,1368,2964,2833,1003,1447
5234,1557,1374,2994,2970,1061,1788
6362,2520,1795,4008,4090,1622,2188
8842,3355,2505,5855,5813,2298,3972
12809,4088,3371,7593,6310,2806,6866
9256,2908,2189,5049,4225,1975,5608
6306,1832,1266,3170,2677,1344,3222
6440,1673,1066,3345,2451,1331,3122
5706,1515,840,2635,2029,1052,2378
2163,712,450,983,862,481,1244
816,270,203,398,365,193,443
29,25,12,13,7,5,5
0,2,0,0,9,0,2
445,626,198,506,618,441,406
727,1203,432,1239,1253,866,861
1558,1864,707,2539,2453,997,1414
2475,2024,972,2791,2907,1124,1494
3845,2184,1241,2800,3059,1271,1472
6076,2379,1357,3197,3481,1422,1890
6658,2346,1495,3715,3798,1579,1958
7481,2259,1733,4160,4004,1588,1979
8223,1965,1903,3515,3873,1443,2059
8702,1829,1784,3210,3671,1423,1950
9270,2088,2082,3747,4275,1442,2374
11080,2738,2158,4384,4719,1836,3297
9982,2364,1957,4027,4404,1683,3630
8010,1952,1701,2868,3145,1493,3467
6609,1617,1239,2297,2618,1291,2914
6521,1562,1193,2452,2495,1152,3121
5370,1330,1024,2136,1837,981,2988
2131,616,539,929,893,537,1438
399,174,132,263,188,118,222
11,10,3,5,2,3,0
0,2,0,6,10,0,0
355,420,184,433,442,286,283
587,856,340,700,783,672,654
1327,1387,597,1710,1696,647,1058
2102,1781,857,1953,2356,871,1277
3631,1738,1038,2022,2632,990,1258
5615,2144,1202,2452,3001,1214,1702
5406,1968,1332,2723,3136,1110,1612
6189,1943,1485,3115,3368,1231,1714
6802,1907,1591,2618,3324,1212,1803
7109,1810,1652,2537,3133,1249,1824
7631,1985,1833,2814,3329,1278,1899
8333,2457,1732,3481,3780,1457,2616
7117,2116,1580,2948,3414,1396,2577
5854,1783,1370,2454,2503,1287,2491
4888,1448,1080,1972,2088,1140,2334
4687,1278,865,2055,2015,1042,2317
3084,950,655,1397,1249,919,1758
1095,394,305,633,527,375,823
358,142,94,262,180,81,210
20,10,4,8,3,2,0
2,0,0,0,3,2,0
492,964,326,768,936,531,561
2062,3405,1695,3158,3872,2029,2925
5918,3718,3488,6711,4138,2846,6878
3533,2251,1502,3988,2980,1443,3476
2932,1635,1029,2581,2149,1013,1623
3583,1608,1027,2284,2185,976,1405
3924,1382,1015,2671,2375,962,1488
4118,1467,1094,2788,2314,937,1474
4015,1363,1155,2367,2091,857,1360
4062,1392,1226,2524,2243,962,1430
5021,2165,1485,3256,3232,1293,1932
6857,2962,2237,5385,4809,2004,3457
9613,3863,3215,7101,5488,2704,6894
7044,2558,2034,4553,3661,1764,5005
4674,1615,1088,2810,2247,974,2829
4337,1309,775,2485,1893,886,2317
3199,1043,559,1830,1489,696,1601
984,367,236,646,457,282,762
395,144,114,293,226,107,189
16,10,3,4,1,2,0
0,2,2,0,3,0,2
495,916,335,742,902,492,585
2066,3403,1776,3138,4004,2036,3004
6153,4027,3459,7072,4487,3057,6949
3761,2347,1624,4450,3292,1522,3908
3034,1627,1047,2754,2347,963,1553
3360,1536,1066,2382,2198,899,1269
3785,1472,1092,2778,2525,865,1526
4075,1486,1107,2865,2474,937,1448
4004,1359,1049,2435,2323,807,1229
4058,1523,1136,2628,2545,981,1440
4870,2160,1366,3510,3612,1276,1915
6929,3028,2304,5414,5145,2199,3733
10199,3867,3309,7701,5895,2793,6898
7052,2487,1935,4797,3823,1635,5002
4771,1563,1035,2894,2280,1067,2649
4748,1403,855,2925,2125,986,2323
3454,1053,633,2489,1597,758,1712
1019,424,259,754,503,295,663
454,145,98,282,164,110,183
490,870,334,675,837,429,564
2135,3433,1696,3241,3913,2014,2991
6122,3887,3635,6938,4511,3008,6972
3572,2053,1543,4391,3252,1412,3760
3036,1381,981,2610,2148,890,1418
3320,1357,831,2381,1929,799,1211
3822,1342,1023,2720,2291,970,1509
4109,1293,1119,2991,2365,932,1522
3882,1221,1000,2470,2153,831,1295
3784,1188,913,2556,2133,847,1390
4603,2044,1334,3298,3242,1290,1735
6827,2930,2189,5301,4937,2102,3532
9947,3867,3163,7579,5608,2675,6675
7199,2541,1974,4913,3465,1700,4928
4707,1552,1014,3028,2215,1082,2538
4689,1314,879,2923,2025,1016,2107
3381,1063,601,1968,1498,762,1369
1075,401,230,663,505,287,576
510,180,131,310,221,109,217
27,6,4,8,7,3,0
0,2,0,2,3,0,0
455,911,328,677,892,454,566
2044,3371,1689,3184,3773,2033,2854
6342,3756,3615,7295,4278,3224,6843
3809,1939,1566,4579,3116,1541,3755
2891,1349,958,2535,2119,1011,1470
3365,1366,917,2220,2143,873,1168
3846,1372,976,2806,2575,1068,1475
3981,1358,1239,3000,2503,977,1420
4083,1243,1020,2432,2339,858,1349
4263,1314,1241,2579,2454,965,1431
5006,1936,1380,3424,3271,1171,1782
7224,2862,2367,5374,4938,2038,3583
10518,3849,3233,7775,6033,2784,6607
7445,2535,2088,4948,3719,1764,5126
5169,1662,1087,3040,2468,1162,2923
5071,1438,902,3149,2307,1035,2493
3783,1119,647,2326,1625,842,1941
1204,507,276,733,635,409,810
816,291,207,399,314,198,402
39,22,8,12,9,1,0
0,0,0,0,3,2,0
531,902,309,688,922,449,587
2108,3306,1660,3186,3771,2031,2850
5917,3893,3425,6819,4362,2862,6864
3608,2243,1570,4214,3175,1392,3518
3419,1828,1048,2805,2460,962,1546
3972,1798,1053,2495,2521,913,1366
4852,1718,1222,2982,2804,1143,1728
4992,1644,1363,3145,3231,988,1604
5044,1516,1236,2799,2736,971,1541
4958,1580,1345,2923,3196,1032,1612
6313,2176,1696,3809,4040,1621,2165
8428,3174,2540,5695,5686,2170,3967
12750,4249,3269,7899,6317,2824,6864
9171,2917,2175,5002,4241,1867,5370
6168,1884,1242,3185,2706,1342,3194
6376,1752,989,3213,2533,1223,2917
5505,1515,886,2616,2136,1000,2482
2069,692,431,978,801,574,1174
804,243,243,358,311,205,391
38,15,2,10,9,6,0
0,2,0,0,5,0,2
365,496,161,445,533,444,328
601,1062,389,1002,1109,745,789
1490,1614,810,2252,2099,919,1183
2516,1970,962,2702,2626,1242,1476
3883,2043,1114,2638,2993,1217,1533
5685,2478,1423,3039,3201,1391,1828
6040,2026,1352,3683,3399,1433,1913
7178,1993,1666,3718,3638,1492,2002
7418,1840,1822,3328,3404,1438,1812
7899,1868,1842,3124,3578,1429,1922
8539,2035,2060,3568,3830,1559,2337
10277,2483,1989,4211,4431,1839,3133
8939,2212,1787,3532,4087,1603,3191
7371,1809,1450,2586,2896,1406,3100
6078,1507,1167,2135,2317,1220,2787
6241,1452,1121,2128,2257,1087,2947
5066,1220,914,1979,1725,922,2542
1998,639,473,924,777,541,1481
305,130,85,207,176,103,146
14,9,3,3,4,2,0
0,0,2,2,4,0,0
399,463,174,463,415,301,356
563,1223,342,783,939,741,665
1144,1418,517,1683,1805,840,945
1807,1672,732,2007,2218,833,1089
3045,1799,978,1920,2728,908,1098
5066,2039,1237,2350,3003,1167,1589
5440,1793,1140,2782,3271,1225,1631
5886,1868,1484,3024,3421,1306,1596
6755,1868,1505,2614,3209,1128,1601
6207,1851,1299,2024,3045,1103,1553
6710,1999,1438,2508,3444,1098,1683
7727,2134,1514,3146,3590,1393,2356
6357,1649,1382,2766,3151,1163,2383
5503,1574,1104,2107,2139,1102,2146
4817,1323,918,1943,1785,1037,2076
4518,1136,794,1823,1615,984,1697
2926,782,519,1150,1101,698,1112
905,381,236,558,469,351,555
347,129,98,234,174,83,205
527,929,361,711,950,498,636
2044,3325,1680,3185,3801,2054,2912
5939,3913,3475,6821,4100,2885,6918
3552,2250,1478,4119,2926,1409,3480
3046,1539,1007,2669,1968,988,1610
3552,1573,971,2393,2004,887,1376
3789,1402,1071,2809,2356,941,1678
4125,1414,1065,2823,2281,926,1618
3993,1376,972,2426,2197,846,1380
4128,1316,1127,2494,2161,932,1437
4832,2163,1315,3357,3232,1289,1914
6650,2815,2185,5151,4696,1935,3537
9708,3769,3120,7102,5339,2637,6810
6976,2572,1929,4574,3769,1683,5014
4762,1582,1117,2769,2175,1001,2917
4313,1324,831,2486,1998,908,2382
3166,1006,579,1863,1512,750,1654
1014,370,226,649,491,304,736
431,128,103,252,166,116,203
