"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
2978,1057,678,2007,1506,713,1035
2902,953,626,1761,1458,596,968
3185,980,660,1750,1488,646,1087
3510,1561,872,2297,2102,921,1346
4845,2248,1553,3951,3337,1547,2503
7345,3010,2359,5624,4011,2049,4838
5210,2009,1362,3485,2577,1238,3474
3484,1153,678,1962,1588,755,1720
2999,963,514,1786,1315,668,1264
2201,696,328,1249,1024,486,828
623,292,141,467,319,229,409
243,124,87,206,153,89,138
9,6,4,7,2,1,0
0,0,0,0,9,0,0
439,861,236,627,826,472,536
1677,2684,1311,2740,2821,1586,2402
4810,3033,2673,5500,3341,2290,5441
2819,1673,1110,3102,2056,1104,2756
2272,1209,649,1779,1598,693,1130
2670,1154,583,1690,1532,612,1027
2873,1076,667,1863,1575,710,1072
3101,1044,761,2052,1744,731,1110
3128,1024,641,1889,1573,613,965
3190,1021,660,1930,1772,672,1078
3503,1697,843,2479,2226,1012,1243
5189,2315,1591,4169,3558,1623,2558
7417,3024,2502,5883,4145,2155,4872
5290,2040,1355,3425,2621,1309,3607
3706,1189,699,2193,1636,841,1736
3416,995,489,1871,1413,733,1374
2422,765,387,1567,1079,547,1055
739,336,123,566,390,231,431
306,108,64,248,166,112,114
9,12,4,6,4,3,0
0,4,0,0,6,0,0
453,852,230,639,804,408,509
1664,2696,1331,2739,2911,1602,2369
4818,3039,2555,5508,3311,2298,5492
2820,1610,1094,3150,2102,1075,2731
2326,1247,692,1812,1546,733,1060
2668,1090,623,1803,1529,725,925
2998,1074,639,1961,1748,719,1101
3140,1106,777,2114,1708,771,1072
3295,967,664,1917,1544,636,907
3288,973,742,1930,1640,687,1053
3822,1615,903,2585,2128,977,1346
5446,2353,1674,4156,3488,1577,2594
8309,3093,2402,5919,4245,2090,4903
5886,2003,1392,3601,2697,1360,3628
3783,1216,697,2132,1678,748,1795
3843,1026,562,2065,1514,732,1335
2636,830,417,1546,1125,578,1052
835,377,166,526,419,250,448
348,128,76,269,154,100,153
11,14,0,8,4,2,0
0,2,0,4,14,0,0
441,841,230,619,826,441,509
1673,2535,1298,2726,2777,1620,2373
4760,3103,2671,5527,3466,2329,5314
2843,1581,1103,3062,2052,1086,2700
2332,1134,670,1846,1604,710,1130
2824,1093,628,1758,1532,702,957
2958,1074,648,2009,1712,744,1101
3215,1041,775,2130,1766,736,1131
3222,1019,688,1937,1602,660,968
3555,1030,738,2027,1869,786,1090
3882,1672,881,2418,2261,1062,1238
5467,2292,1607,4326,3656,1632,2601
8029,2984,2420,5828,3981,2127,4793
5586,1983,1372,3540,2691,1317,3558
3845,1193,682,2086,1677,843,1696
3821,1035,552,1972,1527,848,1396
2791,850,420,1532,1256,548,1050
833,347,138,618,416,283,431
645,187,137,319,252,160,227
